content_id,content_type,language,genre,duration,release_date,rating,episode_count,season_count
cont_475_19_32,series,english,drama,4980000,2018-07-01,10,32,19
cont_2185_15_21,series,english,drama,3000000,2016-03-29,4,21,15
cont_4857_13_28,series,tamil,comedy,3120000,2006-03-06,8,28,13
cont_3340_1_5,sports,hindi,cricket,9900000,2009-01-10,0,5,1
cont_1664_10_29,series,hindi,action,3660000,2020-05-25,2,29,10
cont_51_1_37,series,hindi,comedy,3060000,2002-02-04,10,37,1
cont_2208_1_24,series,marathi,drama,3600000,2011-07-09,7,24,1
cont_2679_5_17,series,hindi,comedy,3240000,1994-05-03,7,17,5
cont_4790_4_19,series,marathi,drama,3060000,2020-12-18,1,19,4
cont_1437_5_25,series,hindi,comedy,2880000,2002-05-27,1,25,5
cont_3065_11_20,series,malayalam,drama,4320000,2004-06-15,5,20,11
cont_3053_5_1,series,hindi,drama,3300000,2017-11-14,5,1,5
cont_2478_11_9,series,tamil,drama,5100000,2017-03-22,8,9,11
cont_673_10_48,series,punjabi,comedy,3600000,2016-06-24,2,48,10
cont_3375_1_22,series,english,action,3180000,2001-06-26,5,22,1
cont_3383_9_6,series,tamil,horror,2940000,2011-10-20,2,6,9
cont_1690_1_6,sports,hindi,cricket,4200000,2005-12-10,0,6,1
cont_3315_7_2,series,hindi,documentary,3420000,2018-06-29,9,2,7
cont_2853_5_22,series,english,drama,3840000,2013-02-15,3,22,5
cont_43_13_8,series,marathi,drama,2820000,2018-05-08,2,8,13
cont_3923_1_7,series,kannada,action,3720000,2016-03-27,1,7,1
cont_4084_3_1,series,english,drama,5220000,1997-04-04,8,1,3
cont_1937_6_52,series,hindi,action,3300000,2017-07-25,7,52,6
cont_3300_1_22,series,english,drama,2820000,2019-10-25,10,22,1
cont_3580_6_7,series,hindi,drama,2760000,2007-03-15,9,7,6
cont_1369_2_8,series,oriya,drama,3420000,2001-07-06,6,8,2
cont_2782_12_8,series,tamil,drama,3420000,2015-07-28,4,8,12
cont_1935_37_4,series,hindi,comedy,3480000,2010-09-09,5,4,37
cont_310_20_3,series,english,comedy,4200000,2014-09-11,4,3,20
cont_593_30_13,series,telugu,sci-fi,4440000,2018-10-04,5,13,30
cont_1935_38_13,series,hindi,comedy,3240000,2011-05-31,5,13,38
cont_3565_4_38,series,telugu,drama,3600000,2002-11-30,1,38,4
cont_558_2_11,series,hindi,drama,3120000,1998-07-20,5,11,2
cont_877_6_7,series,hindi,comedy,3780000,2016-10-21,2,7,6
cont_2053_4_3,series,hindi,drama,3420000,1996-01-23,5,3,4
cont_1798_8_13,series,hindi,drama,2760000,2016-03-25,10,13,8
cont_4953_1_16,sports,hindi,football,8160000,1997-08-14,0,16,1
cont_3371_11_13,series,hindi,drama,3360000,2010-02-24,3,13,11
cont_4634_3_21,series,gujarati,drama,2700000,2004-04-06,9,21,3
cont_2308_11_1,series,malayalam,horror,3780000,2007-05-22,1,1,11
cont_3442_11_2,series,hindi,sci-fi,2580000,2014-09-05,8,2,11
cont_1701_2_16,series,english,drama,3480000,2017-01-30,6,16,2
cont_1185_4_4,series,hindi,drama,4020000,2003-08-06,9,4,4
cont_4060_5_5,series,malayalam,drama,3600000,2016-11-08,8,5,5
cont_3861_7_15,series,hindi,drama,3300000,2020-01-30,1,15,7
cont_3939_17_10,series,bengali,action,3900000,1999-04-26,9,10,17
cont_728_1_11,series,hindi,drama,3720000,1995-09-03,5,11,1
cont_3356_4_19,series,english,action,2760000,2015-02-17,7,19,4
cont_4802_18_40,series,english,drama,3300000,2017-04-01,2,40,18
cont_3717_2_5,series,hindi,comedy,3180000,2005-02-20,1,5,2
cont_4341_2_8,series,english,sci-fi,3120000,1993-07-21,9,8,2
cont_3451_1_22,series,telugu,drama,3600000,2010-10-20,3,22,1
cont_3040_5_27,series,hindi,drama,3720000,1997-09-23,9,27,5
cont_2308_9_6,series,malayalam,horror,3300000,2006-12-17,1,6,9
cont_287_17_18,series,hindi,drama,4680000,2019-04-30,7,18,17
cont_517_3_9,series,english,drama,3240000,2012-10-06,5,9,3
cont_944_19_12,series,english,action,3360000,2013-02-02,4,12,19
cont_3454_16_13,series,punjabi,comedy,3000000,2001-08-01,8,13,16
cont_335_5_6,series,hindi,drama,2940000,2013-01-26,1,6,5
cont_1502_4_6,series,hindi,drama,3420000,2000-06-19,7,6,4
cont_2888_14_8,series,malayalam,sci-fi,3000000,2003-10-28,10,8,14
cont_1631_10_15,series,hindi,drama,3420000,2014-02-25,9,15,10
cont_4103_10_13,series,hindi,comedy,3180000,2007-06-10,10,13,10
cont_4710_8_29,series,hindi,drama,3600000,2003-10-09,1,29,8
cont_2917_1_20,series,hindi,action,3960000,1992-01-26,10,20,1
cont_2074_2_2,series,telugu,drama,3780000,1995-12-03,8,2,2
cont_780_8_25,series,hindi,comedy,3420000,2008-10-30,8,25,8
cont_4561_1_23,series,hindi,drama,3540000,2015-04-23,9,23,1
cont_1468_3_4,series,hindi,comedy,3900000,2004-09-20,4,4,3
cont_2647_5_19,series,telugu,comedy,2520000,2001-08-20,8,19,5
cont_286_3_9,series,telugu,drama,2880000,2003-06-10,1,9,3
cont_1432_3_7,series,hindi,drama,3060000,2006-11-09,8,7,3
cont_4059_13_16,series,hindi,comedy,3720000,2007-11-23,9,16,13
cont_3905_5_4,series,hindi,drama,2400000,1995-03-02,9,4,5
cont_700_1_24,series,hindi,comedy,3240000,2018-10-29,5,24,1
cont_2738_2_39,series,bengali,comedy,3300000,2006-02-13,6,39,2
cont_2786_1_48,series,hindi,drama,2580000,2017-05-01,5,48,1
cont_4444_6_1,series,hindi,action,2880000,2009-07-30,5,1,6
cont_2489_22_1,series,hindi,drama,3360000,2008-03-17,3,1,22
cont_4219_2_9,series,hindi,comedy,3060000,1992-12-14,5,9,2
cont_1387_3_29,series,english,comedy,3300000,2012-05-13,8,29,3
cont_4125_6_5,series,hindi,action,2580000,1999-07-16,10,5,6
cont_2533_3_15,series,marathi,sci-fi,2760000,2005-07-22,4,15,3
cont_310_9_7,series,english,comedy,4320000,2004-09-15,4,7,9
cont_890_12_6,series,telugu,drama,3540000,2014-05-11,4,6,12
cont_3739_4_6,series,gujarati,drama,3780000,2006-10-09,6,6,4
cont_218_2_24,series,hindi,documentary,3480000,2018-01-01,5,24,2
cont_2907_1_9,sports,hindi,football,4020000,2020-01-07,0,9,1
cont_4276_1_3,sports,hindi,cricket,2700000,2000-05-27,0,3,1
cont_4427_5_10,series,hindi,action,5400000,2011-02-04,2,10,5
cont_2624_5_4,series,hindi,drama,3780000,2001-04-15,4,4,5
cont_357_5_1,series,malayalam,sci-fi,3360000,1996-11-17,10,1,5
cont_2270_17_12,series,hindi,comedy,2700000,2007-01-22,4,12,17
cont_426_9_23,series,telugu,comedy,2640000,2009-08-18,4,23,9
cont_1252_11_1,series,hindi,drama,3060000,2001-04-16,7,1,11
cont_426_9_27,series,telugu,comedy,3240000,2009-10-05,4,27,9
cont_4158_2_4,series,english,drama,5280000,2010-06-25,9,4,2
cont_2825_2_24,series,hindi,action,3300000,2005-11-12,4,24,2
cont_1739_2_16,series,english,drama,3000000,2000-12-27,9,16,2
cont_3490_2_31,series,hindi,comedy,2820000,2016-01-06,10,31,2
cont_1654,movies,telugu,family,4500000,2017-09-08,4,0,0
cont_4509_6_20,series,hindi,comedy,2880000,2015-05-22,10,20,6
cont_633_1_24,series,telugu,drama,3600000,2017-12-08,4,24,1
cont_4994_21_4,series,hindi,drama,3120000,2014-07-17,6,4,21
cont_2927_3_5,series,hindi,drama,2940000,2015-03-17,6,5,3
cont_2418_11_21,series,hindi,action,3240000,2009-02-21,9,21,11
cont_615_10_24,series,hindi,horror,4260000,2003-11-22,9,24,10
